G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 17 2018,7:30p,,,,Cleveland Cavaliers,,,,,,,,
2,Fri Oct 19 2018,8:00p,,,,Boston Celtics,,,,,,,,
3,Sat Oct 20 2018,7:00p,,,@,Washington Wizards,,,,,,,,
4,Mon Oct 22 2018,7:30p,,,,Charlotte Hornets,,,,,,,,
5,Wed Oct 24 2018,7:30p,,,,Minnesota Timberwolves,,,,,,,,
6,Fri Oct 26 2018,7:30p,,,,Dallas Mavericks,,,,,,,,
7,Mon Oct 29 2018,8:00p,,,@,Milwaukee Bucks,,,,,,,,
8,Tue Oct 30 2018,7:30p,,,,Philadelphia 76ers,,,,,,,,
9,Fri Nov 2 2018,10:00p,,,@,Phoenix Suns,,,,,,,,
10,Sun Nov 4 2018,9:30p,,,@,Los Angeles Lakers,,,,,,,,
11,Mon Nov 5 2018,9:00p,,,@,Utah Jazz,,,,,,,,
12,Wed Nov 7 2018,10:00p,,,@,Sacramento Kings,,,,,,,,
13,Sat Nov 10 2018,3:00p,,,,New York Knicks,,,,,,,,
14,Mon Nov 12 2018,7:30p,,,,New Orleans Pelicans,,,,,,,,
15,Wed Nov 14 2018,7:30p,,,,Detroit Pistons,,,,,,,,
16,Fri Nov 16 2018,7:00p,,,@,Boston Celtics,,,,,,,,
17,Sat Nov 17 2018,8:00p,,,@,Chicago Bulls,,,,,,,,
18,Tue Nov 20 2018,7:00p,,,@,Orlando Magic,,,,,,,,
19,Wed Nov 21 2018,7:30p,,,@,Atlanta Hawks,,,,,,,,
20,Fri Nov 23 2018,7:30p,,,,Washington Wizards,,,,,,,,
21,Sun Nov 25 2018,6:00p,,,,Miami Heat,,,,,,,,
22,Tue Nov 27 2018,8:00p,,,@,Memphis Grizzlies,,,,,,,,
23,Thu Nov 29 2018,8:00p,,,,Golden State Warriors,,,,,,,,
24,Sat Dec 1 2018,8:00p,,,@,Cleveland Cavaliers,,,,,,,,
25,Mon Dec 3 2018,7:30p,,,,Denver Nuggets,,,,,,,,
26,Wed Dec 5 2018,8:00p,,,,Philadelphia 76ers,,,,,,,,
27,Fri Dec 7 2018,7:30p,,,@,Brooklyn Nets,,,,,,,,
28,Sun Dec 9 2018,6:00p,,,,Milwaukee Bucks,,,,,,,,
29,Tue Dec 11 2018,10:30p,,,@,Los Angeles Clippers,,,,,,,,
30,Wed Dec 12 2018,10:30p,,,@,Golden State Warriors,,,,,,,,
31,Fri Dec 14 2018,10:00p,,,@,Portland Trail Blazers,,,,,,,,
32,Sun Dec 16 2018,8:00p,,,@,Denver Nuggets,,,,,,,,
33,Wed Dec 19 2018,7:30p,,,,Indiana Pacers,,,,,,,,
34,Fri Dec 21 2018,7:00p,,,,Cleveland Cavaliers,,,,,,,,
35,Sat Dec 22 2018,7:30p,,,@,Philadelphia 76ers,,,,,,,,
36,Wed Dec 26 2018,7:30p,,,@,Miami Heat,,,,,,,,
37,Fri Dec 28 2018,7:00p,,,@,Orlando Magic,,,,,,,,
38,Sun Dec 30 2018,6:00p,,,,Chicago Bulls,,,,,,,,
39,Tue Jan 1 2019,7:30p,,,,Utah Jazz,,,,,,,,
40,Thu Jan 3 2019,8:00p,,,@,San Antonio Spurs,,,,,,,,
41,Sat Jan 5 2019,8:30p,,,@,Milwaukee Bucks,,,,,,,,
42,Sun Jan 6 2019,7:30p,,,,Indiana Pacers,,,,,,,,
43,Tue Jan 8 2019,7:30p,,,,Atlanta Hawks,,,,,,,,
44,Fri Jan 11 2019,7:30p,,,,Brooklyn Nets,,,,,,,,
45,Sun Jan 13 2019,1:00p,,,@,Washington Wizards,,,,,,,,
46,Wed Jan 16 2019,8:00p,,,@,Boston Celtics,,,,,,,,
47,Thu Jan 17 2019,7:30p,,,,Phoenix Suns,,,,,,,,
48,Sat Jan 19 2019,7:30p,,,,Memphis Grizzlies,,,,,,,,
49,Tue Jan 22 2019,7:00p,,,,Sacramento Kings,,,,,,,,
50,Wed Jan 23 2019,7:00p,,,@,Indiana Pacers,,,,,,,,
51,Fri Jan 25 2019,8:00p,,,@,Houston Rockets,,,,,,,,
52,Sun Jan 27 2019,7:00p,,,@,Dallas Mavericks,,,,,,,,
53,Thu Jan 31 2019,8:00p,,,,Milwaukee Bucks,,,,,,,,
54,Sun Feb 3 2019,3:00p,,,,Los Angeles Clippers,,,,,,,,
55,Tue Feb 5 2019,8:00p,,,@,Philadelphia 76ers,,,,,,,,
56,Thu Feb 7 2019,7:30p,,,@,Atlanta Hawks,,,,,,,,
57,Sat Feb 9 2019,7:30p,,,@,New York Knicks,,,,,,,,
58,Mon Feb 11 2019,7:30p,,,,Brooklyn Nets,,,,,,,,
59,Wed Feb 13 2019,7:30p,,,,Washington Wizards,,,,,,,,
60,Fri Feb 22 2019,7:00p,,,,San Antonio Spurs,,,,,,,,
61,Sun Feb 24 2019,3:30p,,,,Orlando Magic,,,,,,,,
62,Tue Feb 26 2019,8:00p,,,,Boston Celtics,,,,,,,,
63,Fri Mar 1 2019,7:30p,,,,Portland Trail Blazers,,,,,,,,
64,Sun Mar 3 2019,6:00p,,,@,Detroit Pistons,,,,,,,,
65,Tue Mar 5 2019,8:00p,,,,Houston Rockets,,,,,,,,
66,Fri Mar 8 2019,8:00p,,,@,New Orleans Pelicans,,,,,,,,
67,Sun Mar 10 2019,3:30p,,,@,Miami Heat,,,,,,,,
68,Mon Mar 11 2019,7:00p,,,@,Cleveland Cavaliers,,,,,,,,
69,Thu Mar 14 2019,8:00p,,,,Los Angeles Lakers,,,,,,,,
70,Sun Mar 17 2019,4:00p,,,@,Detroit Pistons,,,,,,,,
71,Mon Mar 18 2019,7:30p,,,,New York Knicks,,,,,,,,
72,Wed Mar 20 2019,9:30p,,,@,Oklahoma City Thunder,,,,,,,,
73,Fri Mar 22 2019,7:30p,,,,Oklahoma City Thunder,,,,,,,,
74,Sun Mar 24 2019,6:00p,,,,Charlotte Hornets,,,,,,,,
75,Tue Mar 26 2019,7:30p,,,,Chicago Bulls,,,,,,,,
76,Thu Mar 28 2019,7:30p,,,@,New York Knicks,,,,,,,,
77,Sat Mar 30 2019,8:00p,,,@,Chicago Bulls,,,,,,,,
78,Mon Apr 1 2019,7:30p,,,,Orlando Magic,,,,,,,,
79,Wed Apr 3 2019,7:30p,,,@,Brooklyn Nets,,,,,,,,
80,Fri Apr 5 2019,7:00p,,,@,Charlotte Hornets,,,,,,,,
81,Sun Apr 7 2019,12:00p,,,,Miami Heat,,,,,,,,
82,Tue Apr 9 2019,8:00p,,,@,Minnesota Timberwolves,,,,,,,,